어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)홍어,보령,24미,S/P,1,20.0,"160,000","160,000","160,000"
(선)홍어,장항,중,S/P,4,16.0,"160,000","128,000","144,000"
(선)홍어,포항,중,S/P,62.4,1.0,"5,000","4,500","4,800"
(선)홍어,장항,중,S/P,2,10.5,"84,000","68,250","76,100"
(선)홍어,보령,중,S/P,1,21.0,"168,000","168,000","168,000"
(선)홍어,태안,중,kg,"1,072",1.0,"14,000","1,800","7,400"
(선)홍어,보령,중,S/P,750.7,1.0,"10,500","5,000","8,500"
(선)홍어,방어진,중,S/P,9,20.0,"84,000","60,000","74,200"
(선)홍어,보령,중,S/P,2,24.0,"204,000","192,000","198,000"
(선)홍어,방어진,중,kg,62.2,1.0,"8,000","6,000","7,000"
(선)홍어,목포,중,S/P,4,20.0,"200,000","200,000","200,000"
(선)홍어,군산,중,S/P,16.2,25.0,"8,500","5,000","6,900"
(선)홍어,장항,중,S/P,1,10.0,"65,000","65,000","65,000"
(선)홍어,보령,중,kg,"1,062.8",1.0,"11,500","4,500","7,200"
(선)홍어,대천,중,kg,146.7,1.0,"12,000","6,500","8,400"
(선)홍어,군산,중,S/P,"4,267.6",1.0,"12,000","4,500","6,700"
(선)홍어,군산,중,S/P,1,15.5,"130,500","130,500","130,500"
(선)홍어,태안,중,kg,24.5,10.0,"7,000","7,000","7,000"
(선)홍어,보령,28미,S/P,1,20.0,"160,000","160,000","160,000"
(선)홍어,장항,중,S/P,2,12.5,"112,500","112,500","112,500"
(선)홍어,군산,중,S/P,184,20.0,"263,000","5,000","40,000"
(선)홍어,군산,중,S/P,1,20.5,"175,500","175,500","175,500"
(선)홍어,장항,중,S/P,2,11.5,"92,000","92,000","92,000"
(선)홍어,방어진,중,S/P,"2,627.7",1.0,"11,000","4,500","6,800"
(선)홍어,방어진,2미,S/P,27.1,1.0,"7,500","4,000","5,700"
(선)홍어,보령,중,S/P,2,25.0,"212,500","200,000","206,300"
(선)홍어,목포,중,S/P,692.6,1.0,"12,000","7,000","9,300"
(선)홍어,장항,중,S/P,2,16.5,"165,000","132,000","148,500"
(선)홍어,군산,중,kg,39,1.0,"7,500","5,500","6,300"
(선)홍어,보령,중,S/P,4,22.0,"187,000","176,000","178,800"
(선)홍어,장항,중,S/P,2,18.0,"144,000","144,000","144,000"
(선)홍어,보령,중,S/P,33.1,10.0,"7,700","7,000","7,500"
(선)홍어,부산(기장),중,S/P,392.8,1.0,"8,500","4,500","6,800"
(선)홍어,안흥,중,kg,"5,420",1.0,"11,500","4,200","7,300"
(선)홍어,장항,3미,S/P,1,16.5,"132,000","132,000","132,000"
(선)홍어,서천,중,kg,9.3,1.0,"8,500","7,000","7,900"
(선)홍어,장항,중,S/P,2,9.5,"76,000","76,000","76,000"
(선)홍어,군산,중,S/P,6,15.0,"140,000","126,000","137,700"
